52.41682541,-4.06555595
52.41690066,-4.06562032
52.41695138,-4.06565787
52.41697919,-4.06554790
52.41701681,-4.06540574
52.41703644,-4.06530650
52.41705771,-4.06522067
52.41708552,-4.06515630
52.41710024,-4.06508656
52.41715914,-4.06513216
52.41720821,-4.06516971
52.41724747,-4.06520726
52.41728837,-4.06523676
52.41733091,-4.06525017
52.41736362,-4.06530114
52.41739470,-4.06530650
52.41741270,-4.06526358
52.41741924,-4.06519921
52.41744705,-4.06511070
52.41745523,-4.06507047
52.41747650,-4.06502219
52.41749449,-4.06498195
52.41753376,-4.06500073
52.41756811,-4.06502755
52.41760901,-4.06507047
52.41764827,-4.06509192
52.41769734,-4.06513484
